name,size,arch,seed,frac,lr,dev_bce,train_error,final_loss,steps,init_sha256,checkpoint_sha256,train_sha256,flip_sha256,batch_order,subset_sha256,oracle_candidate_queries,retained_flip_labels,training_state_forwards
N_sixdist_s11_f100_lr0.001,N,sixdist,11,100,0.001,0.1238246038556099,0.00390625,0.04170925170183182,300,b8b08a112a09d75b8a4b709c41982240a8b56c7b62d2e80fb26b8db15466b4de,4deb914fab604d43804c64319113dcf38636a20a91a54a501e634a33c0db2864,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,1534,613800
N_sixdist_s23_f0_lr0.01,N,sixdist,23,0,0.01,2.08259916305542,0.0,4.938721758662723e-05,300,1bc0e4f626b5f870cb4499fd7b2a28e0e5b604ca7ea44b37a9a864cbd02777e1,e97b7d7dc1ba59494e689c1a1f8bb0bd31552c7803e21f39eab1e299f278eefb,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600
N_sixdist_s23_f0_lr0.003,N,sixdist,23,0,0.003,1.6554179191589355,0.0,0.0001920374925248325,300,1bc0e4f626b5f870cb4499fd7b2a28e0e5b604ca7ea44b37a9a864cbd02777e1,34663e68f5c9dd297ae3b2620e9d106bca78fdd676632174efeeea69b1a39ea4,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600
N_sixdist_s23_f0_lr0.001,N,sixdist,23,0,0.001,1.0499167442321777,0.0,0.0024572396650910378,300,1bc0e4f626b5f870cb4499fd7b2a28e0e5b604ca7ea44b37a9a864cbd02777e1,5d090acc39ba6b337c1c06d4571baffbcc16f0b2f13ec825dff1e553269ef853,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,0,153600
N_sixdist_s23_f25_lr0.01,N,sixdist,23,25,0.01,0.2707006335258484,0.119140625,0.8087413311004639,300,1bc0e4f626b5f870cb4499fd7b2a28e0e5b604ca7ea44b37a9a864cbd02777e1,94efcc689905176df3f09aeade1afefb27f5973749ad9ed70469df1f4a4db076,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,34e1b85e0643f1557ed5cc018059864ece0856d516e48a7cfdac3bd4ec1e2340,147514,383,268500
N_sixdist_s23_f25_lr0.003,N,sixdist,23,25,0.003,0.3159031867980957,0.001953125,0.019939277321100235,300,1bc0e4f626b5f870cb4499fd7b2a28e0e5b604ca7ea44b37a9a864cbd02777e1,28a38eeebadb777f533492146ce05b993e4920d28744d252166938403f327774,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,34e1b85e0643f1557ed5cc018059864ece0856d516e48a7cfdac3bd4ec1e2340,147514,383,268500
N_sixdist_s23_f25_lr0.001,N,sixdist,23,25,0.001,0.20574603974819183,0.005859375,0.031756866723299026,300,1bc0e4f626b5f870cb4499fd7b2a28e0e5b604ca7ea44b37a9a864cbd02777e1,0fe0ac69e3cc0de5d4c6533bc6c87f3f29426605d7cd26a8870cc05564c8aaef,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,34e1b85e0643f1557ed5cc018059864ece0856d516e48a7cfdac3bd4ec1e2340,147514,383,268500
N_sixdist_s23_f100_lr0.01,N,sixdist,23,100,0.01,0.12405101954936981,0.029296875,0.17112819850444794,300,1bc0e4f626b5f870cb4499fd7b2a28e0e5b604ca7ea44b37a9a864cbd02777e1,f2e4633224fb493ca7fcda48128b9b0e2b63d1144de77dc66928959c10e78276,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,1534,613800
N_sixdist_s23_f100_lr0.003,N,sixdist,23,100,0.003,0.17035996913909912,0.00390625,0.02025483176112175,300,1bc0e4f626b5f870cb4499fd7b2a28e0e5b604ca7ea44b37a9a864cbd02777e1,4057459cf34409a2b1b76fd728773da37f581870233efa0c8cd21a8323080834,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,1534,613800
N_sixdist_s23_f100_lr0.001,N,sixdist,23,100,0.001,0.12203316390514374,0.00390625,0.04245612025260925,300,1bc0e4f626b5f870cb4499fd7b2a28e0e5b604ca7ea44b37a9a864cbd02777e1,fe5642b5622289f8fca2e9f6994f6ad38d1054e82694114648b30aec06915a81,620ea1dc1e443dc6c238317463dc64ab3a9ae05fb592743f3a7d67d7ce17262c,d164ad5aa2ce5cddc59b090809ccdf258a142a0ebe45712102a4c410fef64b5d,full static then full fixed subset each step,d0105bb0ec4c63bc38fb023a940b4e40658705afddd762e92bfeb20f51d6669f,147514,1534,613800
