encoder_seed,head,parent,n_quartets,S,J_star,J,J_head_dev
raw_clean_s11,mlp_static,149,1,1.0,0.0,0.0,1.0
raw_clean_s11,mlp_static,161,1,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,171,1,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,173,1,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,174,1,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,183,2,1.0,0.0,0.0,0.5
raw_clean_s11,mlp_static,190,1,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,191,4,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,192,2,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,197,2,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,208,2,1.0,0.5,0.0,0.0
raw_clean_s11,mlp_static,229,3,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,230,1,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,233,7,0.2857142857142857,0.0,0.0,0.0
raw_clean_s11,mlp_static,236,1,1.0,0.0,0.0,1.0
raw_clean_s11,mlp_static,237,2,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,244,1,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,245,1,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,246,6,0.8333333333333334,0.0,0.16666666666666666,0.5
raw_clean_s11,mlp_static,271,1,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,272,5,0.4,0.0,0.0,0.0
raw_clean_s11,mlp_static,275,1,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,276,3,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,285,3,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,286,1,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,288,2,1.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,289,2,0.5,0.0,0.0,0.0
raw_clean_s11,mlp_static,292,1,1.0,1.0,0.0,0.0
raw_clean_s11,mlp_static,295,1,1.0,1.0,0.0,0.0
raw_clean_s11,mlp_static,302,2,0.0,0.0,0.0,0.0
raw_clean_s11,mlp_static,304,3,0.6666666666666666,0.0,0.0,0.0
raw_clean_s11,mlp_static,311,4,0.75,0.0,0.0,0.0
