seed,arm,n,static,A,B,atomic,AB,J,CCM_denom,CCM,forward_seconds,n_images,seconds_per_image
806,train224_pretrained__input224_phase00,64,1.0,0.921875,0.890625,0.828125,0.859375,0.6875,53,0.8301886792452831,6.207474425435066,256,0.024247946974355727
806,train224_pretrained__input64_phase10,64,0.546875,0.359375,0.375,0.296875,0.65625,0.046875,19,0.15789473684210525,0.4917154163122177,256,0.0019207633449696004
806,train224_pretrained__input224_phase10,64,0.984375,0.921875,0.875,0.8125,0.859375,0.671875,52,0.8269230769230769,6.247226804494858,256,0.024403229705058038
806,train224_pretrained__input64_phase01,64,0.46875,0.3125,0.375,0.28125,0.640625,0.046875,18,0.16666666666666666,0.4778428375720978,256,0.001866573584266007
806,train224_pretrained__input224_phase01,64,1.0,0.921875,0.875,0.8125,0.84375,0.65625,52,0.8076923076923077,6.164385832846165,256,0.02407963215955533
806,train224_pretrained__input64_phase11,64,0.53125,0.359375,0.375,0.328125,0.671875,0.078125,21,0.23809523809523808,0.4873022139072418,256,0.0019035242730751634
806,train224_pretrained__input224_phase11,64,0.984375,0.921875,0.875,0.8125,0.84375,0.65625,52,0.8076923076923077,6.2433634623885155,256,0.02438813852495514
806,train224_random__input64_phase00,64,0.5625,0.46875,0.484375,0.390625,0.5625,0.015625,25,0.04,0.5185811594128609,256,0.0020257076539564878
806,train224_random__input224_phase00,64,0.984375,0.875,0.84375,0.765625,0.796875,0.5625,49,0.7346938775510204,6.494612365961075,256,0.02536957955453545
806,train224_random__input64_phase10,64,0.515625,0.515625,0.515625,0.4375,0.515625,0.0625,28,0.14285714285714285,0.519027590751648,256,0.002027451526373625
806,train224_random__input224_phase10,64,0.984375,0.84375,0.859375,0.75,0.828125,0.578125,48,0.7708333333333334,6.4982640743255615,256,0.025383844040334225
806,train224_random__input64_phase01,64,0.546875,0.515625,0.53125,0.46875,0.5,0.0625,30,0.13333333333333333,0.5210128352046013,256,0.0020352063875179738
806,train224_random__input224_phase01,64,1.0,0.875,0.84375,0.75,0.765625,0.515625,48,0.6875,6.831846661865711,256,0.026686901022912934
806,train224_random__input64_phase11,64,0.609375,0.484375,0.5,0.421875,0.515625,0.015625,27,0.037037037037037035,0.5528615415096283,256,0.0021596153965219855
806,train224_random__input224_phase11,64,0.96875,0.859375,0.796875,0.703125,0.828125,0.546875,45,0.7777777777777778,6.6736579686403275,256,0.02606897644000128
