bank_index,parent_sha256,quartet_coords_sha256,x_image_sha256,A_image_sha256,B_image_sha256,AB_image_sha256
174,1df946b8244fc5b36e4b798b35b593dbf894cde86d36930d75fd00ebe29ac928,a704c85f9c055f62b32518795ddf907f03ef1e0a0ebe0520db10a5cc344fc8c0,11971fe6b0c76a7bc9651812ac1cdde7a4aaa05fe4e7e6cd0f5e13fc1f5678a1,0277a6aa15d1bc0765b1fc41d5fb2cdb4706be4fe0a9faac68aa0b4573476929,febae9114ce6db7f6785f2873da15655b42e533412b3dff5145f9056aa7974c9,b0d40ac4a0d51a356bdbb72583c4de8371d4d7dbeeeccacb0bb480a2b631d78c
198,89df5475900d52f6fcdfaee4492abdfc5c7d62c14673fa6f0dea326529c35d64,74723cfb70b8cd8f519ac0bc52e6a8c5d60645b61bd23205e8570d8c90adbfee,a34286dbc4d4a5d6124add8c0a1ea242c7d48c83f81a5fbaba743225b7ceb2cf,7e5090ff0ec7ed3c09605bcb228abfc12394041c5417764dfd903adb35a1c35d,203297693aed0eb861c2f04794c39cbfa3b95643065bcc69da01f23474ea0a2b,bdbf0a59304ce30cb145f114925e032247649e5fa2cade4428016e68908f99e0
160,26df6fd2ed1bffc9bdc0c0ae562a52daa74e9e120a0ddc3cbad320b69bd9ebdc,5d88a868474a61024c60ef174209f27a8466c6c55a1aa58cc0c6992120b44ced,13798e45ebbd17c929ca4135ed5bdf4e8682c7f0fb8f4e8bacae0aef6aea38e4,21b441e5750a76546d2c0cf30469a034e941826afc2d687f885f4276b54fd556,2ade7893de5f5fc749aded45ad9f71453b2f4965c5616e4f2acf312acf995f32,c0ead82dad5cde78564ed2c004f6b963f7f0b9bf279592a1ed1f6b2e302b8c4b
411,622308acca7e1e1b9702cc0b6315e520c2f1e91229974c079204b9412a7a454f,4c06eed1378029113979fe88d09aa57c2e1fd968b2a66c20bbae77ab8e650ef8,a253a5d839e08dfe86d7614989759c5d5c3e529f416b8736581ed6e0446c0509,a4ebde257d36d367eb4a65952c07b0c51e16d43f5095a9be7c7bb54cbd9f6913,1d28b0199324d0de5c5b7352f0e8f18a2d8c1f947e0b44408455ac24400dc930,6fda94ac003e7422c102beb22edcf373b94bbb8d43ef89311175f1d5e7cd0ac3
405,e65eb276fc4cb4b3e620d2b38901eb86690d653fe5db5d7ee7ccc07c963a92b8,62f46731ca9f9e40bc630fcdc06c79cb62247ffeaf4ead23e84a3428c878bfad,6ca22c08ed332c85982ff05e3c85db43df598da7ef57f7b2066fed64c3f35b2f,09678c5c391dc625979c954161c2ee117724cf1d24cfb2c3d80280c7a06ec31e,0a35acb5cc236358be8b53d6b924e492f2ef959367aa535dac1b4c17efd0f5c5,a6a13b7666b519770d41ed910666904c94f772e48cdb8bbddcc263dd2c874fbe
440,6f44d6ea1e2b1d101dadadbe41e68d1baa526c8daf892fac989db02826731371,384285c3d9b2dd0fb58116ef2545147623d944357b857a727b25af28f7664fd0,a62a3c64921fec348714e9c67a751ee8cd296604b59177a59b645609f1fb7177,c92342127d2fcd352d7b855678b772a6667c5984daf7664622246f085ccf802d,90f3ae2db66286f647cb1180ae13a48dcc3f192401879577d409ed7a6132106d,260409231dddc1d8b3c8440e50df5286590a1d628f5db61ec8222128d8594052
121,cadd402079b64341e3d6f7a07bbd3a2356e19aa6963269b5a45d5468481c3d32,b09991c1a64e41d2bf824958a5654db3d5a0056bb8aedc5ff9d22574a9341e44,4678358c08fc873b0333bdb94c00963e6a13dc17a7226941d37b3ce7dbed8574,0fd18a9c452db1abaa112253dc0572fda0971fb66c7f6f276e8d11f396e97250,ec264c053c4d01278b59632df4b11f1033d22130b3af9d12ca95b574af2f56bb,00406d8eb96d801c7a294184059f1055507730b6614915e2649c4bbcced075b3
215,be7e7d94150a8b035a37b39e9790c0e8e28b4c3fc2d27f8f05a85cd91b7f6555,61e8838128c05c5969ef9b1b673c098b83a704f1f59c17bd300811766a6d8b2e,61592a4b82b0d65ec6abbaa3f5a91f092038f6d50283ad1aa5097f5c2d16e48b,66ab35e71e41f79adc0653cbd5239ee30791213c7d0aaca9bf1d925e07c916e5,7e46c77ee59cd2fc5d00511209ac1703067d1beaf46a7e72703536d6cf000f3a,81755f7f97028e7045b344447aa84c2f174beda70e7c4ec537103e1586979150
499,0aa367064b88af7339bec32cbaa7e9ecd16b59abfb4e8766c78df25b749709c3,b9d6ab1436194e1add371e5602d021a2c508967d7b71f458de281d4175aeea03,0dbd6219905efd66059db59702911aeb7d1064fcad5ccb8073d49d93799ed9d8,6e126ccdf818ea844f8a2c4a21b3de3c5efdb2bf97e530db683b52f43948812a,24d4d3f4af1848ce4cc3b50649968c86c28a12f1b07f8e8bc78d572c170e45b7,7555bcfe163d00bf2ab3bd9b11e4706d3a1bd9145c91cf20e1675ea74be52859
11,0cad7b581d07f2f88c08014cf5efa15e903156bc0f4c70603be9bb0dc2869b33,e09e4f5f22723b3222e58e380eb66206bb4870d126db0cf80886d79160b2b770,fbb630eef01854229a58e25441bdf0ff1af435e3b3a94060173103c89289eaa0,bdfd06608cbd5dda069c158519119ea878f66319dc160c561e1ca26d8db6bd66,c27b9de8b70bdc3a69e427c1b27721ffe6f97ae6918d1852c0aca03023d3ed5a,3f8a803cc3688d28a73c1b619a7047a6a1c8337d2fb0aecdf025c093694a4925
