seed,parent,t_star,min_margin_win,margin_slope,cost,max_slope,max_curv,trans_width,slope_asym,min_abs_logit,speed_conc,max_angle,hyper_dist,z_length,miss,abserr
11,439,0.835085,0.000816,-0.052236,0.857546,174.955078,1052.0625,0.0,9.267328,22.800547,0.192488,0.015447,10.043297,42.061633,1,nan
11,422,0.367247,0.000933,0.059709,0.223502,30.029251,110.585938,0.076923,0.300721,5.629243,0.243433,0.004887,2.062929,6.108293,0,0.303123
11,422,0.367247,0.000933,0.059709,0.223502,35.904053,114.592773,0.092308,4.848171,2.766704,0.234472,0.030849,1.33779,6.905798,0,0.205006
11,44,0.574957,0.000663,0.042402,0.332723,56.091187,21.158203,0.0,0.978667,14.904215,0.163246,0.012154,4.727431,10.012683,1,nan
11,44,0.574957,0.000663,0.0424,0.332723,68.607544,181.009766,0.046154,7.582136,9.408346,0.15529,0.028403,3.257753,11.587357,1,nan
11,441,0.884436,0.007448,0.476678,1.223763,279.643799,2104.009766,0.030769,34.39937,6.48085,0.017525,1.461807,2.017671,47.537721,0,0.187115
11,441,0.884436,0.007448,0.476677,1.223763,359.620605,306.191895,0.030769,6.096045,6.810152,0.00275,2.188857,1.838957,47.270955,0,0.234703
11,57,0.790575,0.004213,0.269652,0.67528,69.90271,361.652344,0.046154,13.101646,8.20509,0.050445,1.001273,2.382835,7.489145,0,0.402817
11,57,0.790575,0.004213,0.269651,0.67528,73.912598,720.880859,0.046154,24.57933,9.307848,0.119682,1.527543,3.071521,8.683862,0,0.40493
11,379,0.770994,0.002493,-0.159564,0.617547,42.345825,418.372559,0.2,7.429746,0.671738,0.078886,0.376846,0.330774,6.315683,0,0.177078
11,379,0.770994,0.002493,-0.159564,0.617547,51.515442,835.54834,0.076923,35.095144,6.545573,0.092283,1.167724,2.368803,9.488042,0,0.319473
11,40,0.759729,0.000186,0.011919,0.588588,123.950684,269.089844,0.0,14.397987,46.29047,0.180183,0.017546,14.518483,27.481564,1,nan
11,40,0.759729,0.000186,0.011919,0.588588,127.702393,935.867188,0.0,24.044916,47.252926,0.174244,0.026266,14.500765,26.38821,1,nan
11,72,0.857515,0.001168,0.07478,0.992549,260.929688,941.663574,0.015385,35.174798,3.018502,0.107814,0.042218,2.677238,45.357621,1,nan
11,72,0.857515,0.001168,0.074779,0.992549,252.063477,1218.487061,0.015385,17.313478,0.215426,0.115214,0.028098,2.345279,46.643428,0,0.093853
11,281,0.89187,0.001837,-0.117592,1.30789,185.010254,1470.303467,0.030769,1.630678,0.419978,0.150377,0.055427,1.770301,34.320975,0,0.054981
11,281,0.89187,0.001837,-0.117593,1.30789,171.832825,2031.892578,0.0,84.945031,1.183468,0.038994,0.200464,1.625695,34.913629,0,0.102627
11,284,0.82926,0.000912,-0.058349,0.828281,160.643066,623.918823,0.046154,34.186806,0.026566,0.059587,0.068109,0.938048,28.624066,0,0.078705
11,284,0.82926,0.000912,-0.058348,0.828281,210.155273,305.245117,0.076923,1.60044,0.810889,0.032402,0.160066,0.63701,28.395557,0,0.126411
11,459,0.820414,0.003844,0.245988,0.787476,131.532593,779.663574,0.015385,25.111551,6.90386,0.020982,0.090353,2.147608,22.061839,0,0.211609
11,459,0.820414,0.003844,0.245987,0.787476,121.397034,787.279419,0.030769,31.53725,0.154107,0.141769,0.054633,0.257168,21.409129,0,0.005749
11,262,0.667631,0.000719,0.04601,0.425498,60.414734,542.301758,0.092308,26.553692,2.405592,0.159384,0.044286,1.218131,11.691393,0,0.216503
11,262,0.667631,0.000719,0.04601,0.425498,55.563782,437.201172,0.0,24.190015,5.546338,0.168113,0.034465,2.03588,10.717046,1,nan
11,418,0.571325,0.002005,0.128317,0.329903,28.404335,142.530762,0.076923,5.645842,8.471725,0.145628,0.047483,2.578132,4.595992,0,0.427738
11,418,0.571325,0.002005,0.128318,0.329903,45.595917,185.128418,0.092308,6.362135,5.434939,0.172754,0.107483,1.871772,4.292212,0,0.383621
