seed,parent,t_star,t_theta,miss,abserr,angle_cos,width_k1,width_k2,woa
23,347,0.652528,0.370744,0,0.281784,0.633755,0.101562,0.210938,0.160254
23,460,0.873178,0.83443,0,0.038748,0.676729,0.046875,0.09375,0.069267
23,460,0.873178,0.850839,0,0.022339,0.535701,0.109375,0.210938,0.204172
23,133,0.831985,nan,1,nan,nan,nan,nan,nan
23,133,0.831985,0.76686,0,0.065125,0.372454,0.070312,0.171875,0.18878
23,192,0.276128,nan,1,nan,nan,nan,nan,nan
23,192,0.276128,nan,1,nan,nan,nan,nan,nan
23,125,0.511168,nan,1,nan,nan,nan,nan,nan
23,125,0.511168,nan,1,nan,nan,nan,nan,nan
23,159,0.821525,nan,1,nan,nan,nan,nan,nan
23,159,0.821525,0.936587,0,0.115063,0.559955,0.054688,nan,0.097665
23,167,0.515838,0.892007,0,0.376169,0.561896,0.21875,nan,0.389307
23,167,0.515838,0.961993,0,0.446156,0.492031,nan,nan,nan
23,95,0.710595,0.841695,0,0.1311,0.692556,0.1875,nan,0.270736
23,95,0.710595,0.851369,0,0.140774,0.719881,0.125,0.242188,0.17364
23,273,0.721553,nan,1,nan,nan,nan,nan,nan
23,273,0.721553,nan,1,nan,nan,nan,nan,nan
23,240,0.265765,nan,1,nan,nan,nan,nan,nan
23,240,0.265765,nan,1,nan,nan,nan,nan,nan
23,388,0.849727,0.939469,0,0.089743,0.307646,nan,nan,nan
23,388,0.849727,0.633531,0,0.216196,0.451803,0.140625,0.351562,0.311253
23,468,0.863397,0.680774,0,0.182623,0.789304,0.039062,0.070312,0.049489
23,468,0.863397,0.835044,0,0.028353,0.61338,0.0625,0.109375,0.101894
23,275,0.285687,0.948833,0,0.663145,0.660759,nan,nan,nan
23,275,0.285687,nan,1,nan,nan,nan,nan,nan
23,282,0.87387,nan,1,nan,nan,nan,nan,nan
23,282,0.87387,nan,1,nan,nan,nan,nan,nan
23,464,0.823562,0.318847,0,0.504715,0.406325,0.117188,0.265625,0.28841
23,464,0.823562,0.311376,0,0.512186,0.470788,0.078125,0.148438,0.165945
23,103,0.822579,0.690167,0,0.132412,0.451915,0.140625,0.3125,0.311176
23,103,0.822579,0.769856,0,0.052723,0.680638,0.09375,0.203125,0.137738
23,315,0.634187,nan,1,nan,nan,nan,nan,nan
23,315,0.634187,nan,1,nan,nan,nan,nan,nan
23,158,0.909535,0.991281,0,0.081745,0.506628,nan,nan,nan
23,158,0.909535,0.696965,0,0.21257,0.674747,0.070312,0.132812,0.104205
23,403,0.817426,nan,1,nan,nan,nan,nan,nan
23,403,0.817426,nan,1,nan,nan,nan,nan,nan
23,134,0.505101,0.359385,0,0.145716,0.476652,nan,nan,nan
23,134,0.505101,0.318179,0,0.186922,0.392889,nan,nan,nan
23,195,0.837647,0.806928,0,0.03072,0.692216,0.070312,0.15625,0.101575
23,195,0.837647,0.844789,0,0.007141,0.791765,0.03125,0.070312,0.039469
23,327,0.800658,0.990399,0,0.189741,0.583622,nan,nan,nan
23,327,0.800658,nan,1,nan,nan,nan,nan,nan
23,178,0.892432,0.915488,0,0.023056,0.351715,0.039062,nan,0.111062
23,178,0.892432,nan,1,nan,nan,nan,nan,nan
23,73,0.419103,0.62609,0,0.206987,0.711954,0.375,nan,0.526719
23,73,0.419103,0.607295,0,0.188192,0.726316,0.257812,nan,0.354958
23,309,0.362252,0.194015,0,0.168238,0.534265,0.28125,nan,0.526424
23,309,0.362252,0.160359,0,0.201893,0.646391,0.242188,nan,0.374677
23,336,0.503539,nan,1,nan,nan,nan,nan,nan
23,336,0.503539,nan,1,nan,nan,nan,nan,nan
23,204,0.791688,0.903308,0,0.11162,0.389696,0.179688,nan,0.461098
23,204,0.791688,0.92154,0,0.129852,0.657297,0.101562,nan,0.154515
23,439,0.835086,nan,1,nan,nan,nan,nan,nan
23,439,0.835086,0.908761,0,0.073675,0.464121,0.070312,0.132812,0.151495
23,422,0.367248,0.658237,0,0.290989,0.468211,nan,nan,nan
23,422,0.367248,0.993564,0,0.626316,0.239082,nan,nan,nan
23,44,0.574958,nan,1,nan,nan,nan,nan,nan
23,44,0.574958,nan,1,nan,nan,nan,nan,nan
23,441,0.884437,0.661071,0,0.223366,0.390308,0.125,0.234375,0.32026
23,441,0.884437,0.449491,0,0.434946,0.643247,0.109375,0.203125,0.170036
23,57,0.790574,0.517177,0,0.273397,0.633446,0.078125,0.148438,0.123333
23,57,0.790574,0.476214,0,0.31436,0.718012,0.0625,0.109375,0.087046
23,379,0.770995,nan,1,nan,nan,nan,nan,nan
23,379,0.770995,0.825408,0,0.054413,0.706102,nan,nan,nan
23,40,0.759728,nan,1,nan,nan,nan,nan,nan
23,40,0.759728,nan,1,nan,nan,nan,nan,nan
23,72,0.857516,0.877402,0,0.019886,0.442015,0.0625,0.109375,0.141398
23,72,0.857516,0.829965,0,0.027552,0.334819,0.078125,0.164062,0.233335
23,281,0.891871,0.661613,0,0.230259,0.525283,0.078125,0.140625,0.148729
23,281,0.891871,0.621943,0,0.269928,0.285697,0.125,0.226562,0.437526
23,284,0.829259,0.999007,0,0.169748,0.347734,nan,nan,nan
23,284,0.829259,0.630933,0,0.198326,0.789979,0.148438,0.265625,0.187901
23,459,0.820413,0.715941,0,0.104471,0.613359,0.140625,nan,0.22927
23,459,0.820413,0.642785,0,0.177628,0.579075,0.070312,0.140625,0.121421
23,262,0.667632,nan,1,nan,nan,nan,nan,nan
23,262,0.667632,nan,1,nan,nan,nan,nan,nan
