model,direction,epsilon,law,table,risk,n_valid_arms,denominator_weighted
mlpB_h32f16,vdiag,0.1,Q_whitebox,all_valid_arms,0.2106299212598425,1016,508.0
mlpC_h128f32,vdiag,0.1,Q_ref,preserving,0.1500375093773443,1333,444.33333333333337
mlpC_h128f32,vdiag,0.1,Q_ref,flipped,0.42857142857142866,35,11.666666666666664
mlpC_h128f32,vdiag,0.1,Q_coherent,preserving,0.15081206496519722,1333,431.0
mlpC_h128f32,vdiag,0.1,Q_coherent,flipped,0.391304347826087,35,23.0
mlpC_h128f32,vdiag,0.1,Q_source_greedy,preserving,0.149032992036405,1333,439.5
mlpC_h128f32,vdiag,0.1,Q_source_greedy,flipped,0.36666666666666664,35,15.0
mlpC_h128f32,vdiag,0.1,Q_source_dro,preserving,0.15004212354821128,1333,444.22245347285946
mlpC_h128f32,vdiag,0.1,Q_source_dro,flipped,0.42789745092675563,35,11.759913678978927
mlpC_h128f32,vdiag,0.1,Q_whitebox,all_valid_arms,0.21850393700787402,1016,508.0
