contrast,family,quantity,stratum,seed,n_rows,n_parents,value_row,value_parent,ci_lo,ci_hi,boot,terms
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,CCM,other_edit,806,173,84,0.108408,,-0.016425,0.243359,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_standard_pretrained_flip minus A_standard_pretrained_flip,paired_contrast,CCM,other_edit,cross_seed_mean,173,84,0.16149,,,,4000,+1*B_standard_pretrained_flip -1*A_standard_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,J,all,803,178,85,0.213483,0.210784,0.122549,0.30098,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,J,all,805,178,85,0.224719,0.213725,0.13527,0.29902,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,J,all,806,178,85,0.202247,0.197059,0.107843,0.289216,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,J,all,cross_seed_mean,178,85,0.213483,0.20719,0.14183,0.274183,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,atomic_joint,all,803,178,85,0.101124,0.088235,0.015686,0.160784,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,atomic_joint,all,805,178,85,0.162921,0.156863,0.090196,0.235294,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,atomic_joint,all,806,178,85,0.117978,0.108824,0.027451,0.191176,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,atomic_joint,all,cross_seed_mean,178,85,0.127341,0.117974,0.059796,0.181381,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,P_state0,all,803,178,85,0.0,0.0,0.0,0.0,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,P_state0,all,805,178,85,0.0,0.0,0.0,0.0,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,P_state0,all,806,178,85,0.0,0.0,0.0,0.0,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,P_state0,all,cross_seed_mean,178,85,0.0,0.0,0.0,0.0,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,A_state1,all,803,178,85,0.05618,0.034314,-0.023529,0.093137,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,A_state1,all,805,178,85,0.11236,0.09902,0.046078,0.16375,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,A_state1,all,806,178,85,0.067416,0.063725,0.0,0.130417,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
B_lowstride_pretrained_flip minus A_lowstride_pretrained_flip,paired_contrast,A_state1,all,cross_seed_mean,178,85,0.078652,0.065686,0.021569,0.116667,4000,+1*B_lowstride_pretrained_flip -1*A_lowstride_pretrained_flip
